,Materials Difficulty
0,-1.0
1,-1.0
2,-0.9633037399721855
3,-0.20344727766174997
4,-0.1625168743434533
5,0.1563355154986641
6,-1.0
7,-1.0
8,-1.0
9,-1.0
10,-0.14321660313985884
11,0.035961183340127434
12,-0.2497039306405754
13,-1.0
14,-1.0
15,-1.0
16,-0.9266074799443711
17,-0.9633037399721855
18,-0.9633037399721855
19,-1.0
20,-0.2614371333321859
21,-0.5335693922680903
22,-1.0
23,-1.0
24,-0.028595741840592215
25,-0.5048395636496057
26,-0.5014151254952836
27,-0.42511905922316995
28,-0.2171326442483268
29,-1.0
30,-1.0
31,-1.0
32,-1.0
33,-1.0
34,-1.0
35,-1.0
36,-1.0
37,0.09225981061306676
38,0.14605678508558317
39,-1.0
40,-1.0
41,-1.0
42,-1.0
43,-1.0
44,-1.0
45,-0.44814606894134246
46,-1.0
47,-0.9633037399721855
48,-0.49189693614846697
49,-1.0
50,-1.0
51,-1.0
52,-0.3558746339099167
53,-0.4394378596310201
54,-1.0
55,-1.0
56,-0.4822574152395207
57,-1.0
58,-1.0
59,-1.0
60,-0.26370729018766204
61,0.19265100208932973
62,-0.15626207228887967
63,-0.49772780435358144
64,-1.0
65,-1.0
66,-1.0
67,-0.34629317531273285
68,-0.07243574551019061
69,-1.0
70,0.021448850550670917
71,-1.0
72,-1.0
73,0.02727417047089098
74,0.2251002240416804
75,-1.0
76,-0.266743588782718
77,-0.4684738884948889
78,-1.0
79,-1.0
80,-0.2576699396428298
81,-0.9633037399721855
82,-1.0
83,-0.9633037399721855
84,-1.0
85,-0.043025573073130485
86,-0.20304210359529418
87,-0.9633037399721855
88,-1.0
89,-0.03351482268585482
90,-1.0
91,0.07307560571189353
92,-0.9633037399721855
93,-1.0
94,-0.15871204759139057
95,-1.0
96,-1.0
97,-0.3108158071575132
98,-1.0
99,-0.9633037399721855
100,-1.0
101,-0.5157846942085378
102,-1.0
103,-1.0
104,-1.0
105,-0.9633037399721855
106,-0.163483965425825
107,-0.23922067798315882
108,-1.0
109,-0.9633037399721855
110,-1.0
111,-0.4956447196803112
112,-0.4970486523884361
113,-1.0
114,-1.0
115,-1.0
116,-1.0
117,-1.0
118,-1.0
119,-0.9266074799443711
120,-0.5348102849861155
121,-0.3142117551029727
122,-1.0
123,-1.0
124,-1.0
125,-1.0
126,-1.0
127,-1.0
128,-0.3526498798942277
129,-1.0
130,-1.0
131,-0.006493653093607277
132,-0.1741151950226757
133,-0.10192862750878917
134,-0.24266022010760135
