Material Index,Materials Difficulty,Questions Numbers,Topics
0,0.01,1,4
1,-0.99,1,4
2,1.01,2,4
3,2.01,3,2
4,2.02,3,0
5,3.01,4,4
6,-0.98,1,3
7,-0.97,1,0
8,-2.99,1,3
9,0.02,1,3
10,3.02,3,1
11,3.03,4,0
12,2.03,3,0
13,-1.99,1,4
14,-2.98,1,4
15,-0.96,1,4
16,-2.97,3,4
17,1.02,2,4
18,1.03,2,0
19,-1.98,1,4
20,2.04,3,0
21,1.04,2,4
22,-2.96,1,3
23,-1.97,1,1
24,2.05,3,0
25,1.05,2,0
26,1.06,2,1
27,2.06,3,0
28,3.04,3,3
29,-1.96,1,4
30,-0.95,1,4
31,-0.94,1,1
32,-0.93,1,4
33,0.03,1,2
34,0.04,1,2
35,-2.95,1,4
36,-0.92,1,4
37,2.07,4,4
38,3.05,4,3
39,-1.95,1,0
40,-1.94,1,3
41,-1.93,1,0
42,-2.94,1,4
43,-1.92,1,4
44,-2.93,1,4
45,1.07,2,2
46,0.05,1,4
47,1.08,2,0
48,1.09,2,0
49,-1.91,1,0
50,-0.91,1,4
51,-2.92,1,1
52,3.06,3,2
53,1.1,2,0
54,-1.9,1,1
55,-1.89,1,4
56,1.11,2,1
57,-0.9,1,4
58,-1.88,1,4
59,-0.89,1,0
60,-2.91,3,2
61,3.07,4,1
62,1.12,3,4
63,1.13,2,3
64,0.06,1,4
65,-1.87,1,0
66,-2.9,1,4
67,2.08,3,4
68,3.08,3,2
69,-0.88,1,0
70,3.09,4,4
71,0.07,1,4
72,-0.87,1,3
73,3.1,4,4
74,3.11,4,2
75,0.08,1,4
76,2.09,3,1
77,1.14,2,0
78,-1.86,1,0
79,-0.86,1,4
80,2.1,3,0
81,1.15,2,0
82,-0.85,1,0
83,1.16,2,0
84,0.09,1,0
85,2.11,3,4
86,2.12,3,0
87,1.17,2,0
88,-0.84,1,4
89,3.12,4,2
90,-0.83,1,0
91,3.13,4,3
92,1.18,2,4
93,-0.82,1,4
94,2.13,3,1
95,-0.8099999999999999,1,0
96,-2.89,1,4
97,2.14,3,4
98,-0.7999999999999999,1,3
99,1.19,2,4
100,-0.7899999999999999,1,4
101,1.2,2,4
102,-0.7799999999999999,1,4
103,-1.85,1,0
104,-1.84,1,0
105,1.21,2,4
106,2.15,3,0
107,2.16,3,2
108,-1.83,1,0
109,1.22,2,0
110,-0.7699999999999999,1,3
111,1.23,2,4
112,1.24,2,3
113,-0.7599999999999999,1,4
114,0.0999999999999999,1,2
115,0.1099999999999999,1,2
116,-0.75,1,4
117,-2.88,1,4
118,-1.82,1,0
119,2.17,3,4
120,1.25,2,4
121,2.18,3,0
122,-1.81,1,4
123,-1.8,1,0
124,-0.74,1,4
125,-0.73,1,4
126,-1.79,1,4
127,0.1199999999999999,1,4
128,2.19,3,0
129,0.1299999999999999,1,0
130,-1.78,1,0
131,3.14,4,2
132,3.15,4,4
133,2.2,3,1
134,3.16,3,4
135,-0.72,1,4
136,1.26,2,4
137,2.21,3,4
138,3.17,4,0
139,-1.77,1,0
140,3.18,3,0
141,-0.71,1,1
142,1.27,2,4
143,-0.7,1,4
144,0.1399999999999999,1,2
145,3.19,3,3
146,-0.69,1,4
147,-2.87,1,4
148,3.2,5,4
149,-0.6799999999999999,1,4
150,-1.76,1,0
151,0.15,1,4
152,0.16,1,0
153,3.21,4,3
154,-1.75,1,1
155,-2.86,1,4
156,-0.6699999999999999,1,3
157,-2.85,1,3
158,-0.6599999999999999,1,0
159,-0.6499999999999999,1,2
160,3.22,3,3
161,0.17,1,1
162,3.23,4,4
163,-2.84,1,0
164,-0.6399999999999999,1,1
165,1.28,2,3
166,1.29,2,0
167,-2.83,1,4
168,-1.74,1,0
169,3.24,4,3
170,3.25,4,4
171,-1.73,1,1
172,3.26,3,3
173,-1.72,1,3
174,3.27,3,3
175,2.22,3,2
176,-0.6299999999999999,1,1
177,-1.71,1,4
178,-2.82,1,4
179,3.28,4,3
180,3.29,4,0
181,3.3000000000000003,4,1
182,2.23,3,0
183,1.3,2,1
184,2.24,3,4
185,1.31,2,4
186,2.25,3,2
187,-1.7,1,2
188,0.18,1,0
189,-1.69,1,1
190,-2.81,1,4
191,2.26,3,2
192,-0.6199999999999999,1,4
193,-0.6099999999999999,1,3
194,3.31,4,3
195,3.3200000000000003,4,0
196,-0.5999999999999999,1,4
197,2.27,3,0
198,2.28,3,3
199,2.29,3,0
200,0.19,1,0
201,3.33,4,2
202,1.32,2,4
203,1.33,2,4
204,3.3400000000000003,4,1
205,-1.68,1,0
206,-0.5899999999999999,1,1
207,-0.5799999999999998,1,0
208,-1.67,1,4
209,2.3000000000000003,3,3
210,2.31,3,4
211,-0.5699999999999998,1,4
212,3.35,4,4
213,0.2,1,3
214,1.34,2,2
215,3.3600000000000003,4,0
216,-1.66,1,0
217,1.35,2,0
218,3.37,3,1
219,-1.65,1,1
220,2.3200000000000003,3,3
221,2.33,3,4
222,-0.5599999999999998,1,0
223,2.3400000000000003,3,0
224,0.21,1,0
225,-0.5499999999999998,1,4
226,-0.5399999999999998,1,4
227,-0.5299999999999998,1,2
228,-0.5199999999999998,1,0
229,-0.5099999999999998,1,4
230,0.22,1,1
231,-1.64,1,2
232,0.23,1,4
233,3.3800000000000003,3,2
234,1.36,2,0
235,2.35,3,2
236,-1.0,1,0
237,-1.63,1,2
238,-0.99,1,3
239,0.24,1,4
240,3.39,4,0
241,2.3600000000000003,3,4
242,-1.62,1,0
243,3.4000000000000004,4,3
244,2.37,3,0
245,-2.8,1,2
246,-0.98,1,3
247,2.3800000000000003,3,0
248,-2.79,1,0
249,-1.61,1,0
250,-0.97,1,4
251,0.25,1,1
252,3.41,4,4
253,0.26,1,0
254,-1.6,1,0
255,1.37,2,1
256,2.39,4,0
257,-1.59,1,4
258,3.4200000000000004,4,4
259,-1.5799999999999998,1,1
260,3.43,4,3
261,-1.5699999999999998,1,0
262,-0.96,1,4
263,-1.5599999999999998,1,0
264,2.4000000000000004,3,4
265,0.2700000000000001,1,4
266,-1.5499999999999998,1,4
267,0.2800000000000001,1,4
268,3.4400000000000004,4,2
269,-0.95,1,0
270,1.38,2,0
271,3.45,3,1
272,-0.94,1,4
273,1.39,2,4
274,2.41,3,1
275,0.2900000000000001,1,0
276,0.3000000000000001,1,4
277,-0.93,1,3
278,-0.92,1,4
279,1.4,2,2
280,2.4200000000000004,3,0
281,2.43,3,4
282,1.41,2,4
