Material Index,Materials Difficulty,Questions Numbers,Topics
0,0.01,1,4
1,0.02,1,4
2,1.01,2,4
3,3.01,3,2
4,2.01,3,0
5,5.01,4,4
6,0.03,1,3
7,0.04,1,0
8,0.05,1,3
9,0.06,1,3
10,4.01,3,1
11,5.02,4,0
12,2.02,3,0
13,0.07,1,4
14,0.08,1,4
15,0.09,1,4
16,3.02,3,4
17,1.02,2,4
18,1.03,2,0
19,0.0999999999999999,1,4
20,2.03,3,0
21,1.04,2,4
22,0.1099999999999999,1,3
23,0.1199999999999999,1,1
24,3.03,3,0
25,1.05,2,0
26,1.06,2,1
27,3.04,3,0
28,4.02,3,3
29,0.1299999999999999,1,4
30,0.1399999999999999,1,4
31,0.15,1,1
32,0.16,1,4
33,0.17,1,2
34,0.18,1,2
35,0.19,1,4
36,0.2,1,4
37,5.03,4,4
38,4.03,4,3
39,0.21,1,0
40,0.22,1,3
41,0.23,1,0
42,0.24,1,4
43,0.25,1,4
44,0.26,1,4
45,1.07,2,2
46,0.2700000000000001,1,4
47,1.08,2,0
48,1.09,2,0
49,0.2800000000000001,1,0
50,0.2900000000000001,1,4
51,0.3000000000000001,1,1
52,4.04,3,2
53,1.1,2,0
54,0.3100000000000001,1,1
55,0.3200000000000001,1,4
56,1.11,2,1
57,0.3300000000000001,1,4
58,0.3400000000000001,1,4
59,0.3500000000000001,1,0
60,4.05,3,2
61,4.06,4,1
62,5.04,3,4
63,1.12,2,3
64,0.3600000000000001,1,4
65,0.3700000000000001,1,0
66,0.3800000000000001,1,4
67,2.04,3,4
68,6.01,3,2
69,0.3900000000000002,1,0
70,5.05,4,4
71,0.4000000000000002,1,4
72,0.4100000000000002,1,3
73,5.06,4,4
74,5.07,4,2
75,0.4200000000000002,1,4
76,2.05,3,1
77,1.13,2,0
78,0.4300000000000002,1,0
79,0.4400000000000002,1,4
80,3.05,3,0
81,1.14,2,0
82,0.4500000000000002,1,0
83,1.15,2,0
84,0.4600000000000002,1,0
85,2.06,3,4
86,5.08,3,0
87,1.16,2,0
88,0.4700000000000002,1,4
89,5.09,4,2
90,0.4800000000000002,1,0
91,6.02,4,3
92,1.17,2,4
93,0.4900000000000002,1,4
94,3.06,3,1
95,0.5000000000000002,1,0
96,0.5100000000000002,1,4
97,3.07,3,4
98,0.5200000000000002,1,3
99,1.18,2,4
100,0.5300000000000002,1,4
101,1.19,2,4
102,0.5400000000000003,1,4
103,0.5500000000000003,1,0
104,0.5600000000000003,1,0
105,1.2,2,4
106,2.07,3,0
107,3.08,3,2
108,0.5700000000000003,1,0
109,1.21,2,0
110,0.5800000000000003,1,3
111,1.22,2,4
112,1.23,2,3
113,0.5900000000000003,1,4
114,0.6000000000000003,1,2
115,0.6100000000000003,1,2
116,0.6200000000000003,1,4
117,0.6300000000000003,1,4
118,0.6400000000000003,1,0
119,3.09,3,4
120,1.24,2,4
121,3.1,3,0
122,0.6500000000000004,1,4
123,0.6600000000000004,1,0
124,0.6700000000000004,1,4
125,0.6800000000000004,1,4
126,0.6900000000000004,1,4
127,0.0,1,4
128,3.11,3,0
129,0.01,1,0
130,0.02,1,0
131,6.03,4,2
132,3.12,4,4
133,2.08,3,1
134,4.07,3,4
135,0.03,1,4
136,1.25,2,4
137,2.09,3,4
138,2.1,4,0
139,0.04,1,0
140,4.08,3,0
141,0.05,1,1
142,1.26,2,4
143,0.06,1,4
144,0.07,1,2
145,4.09,3,3
146,0.08,1,4
147,0.09,1,4
148,6.04,5,4
149,0.0999999999999999,1,4
150,0.1099999999999999,1,0
151,0.1199999999999999,1,4
152,0.1299999999999999,1,0
153,6.05,4,3
154,0.1399999999999999,1,1
155,0.15,1,4
156,0.16,1,3
157,0.17,1,3
158,0.18,1,0
159,0.19,1,2
160,4.1,3,3
161,0.2,1,1
162,4.11,4,4
163,0.21,1,0
164,0.22,1,1
165,1.27,2,3
166,1.28,2,0
167,0.23,1,4
168,0.24,1,0
169,6.06,4,3
170,5.1,4,4
171,0.25,1,1
172,4.12,3,3
173,0.26,1,3
174,4.13,3,3
175,3.13,3,2
176,0.2700000000000001,1,1
177,0.2800000000000001,1,4
178,0.2900000000000001,1,4
179,4.14,4,3
180,6.07,4,0
181,4.15,4,1
182,3.14,3,0
183,1.29,2,1
184,2.11,3,4
185,1.3,2,4
186,3.15,3,2
187,0.3000000000000001,1,2
188,0.3100000000000001,1,0
189,0.3200000000000001,1,1
190,0.3300000000000001,1,4
191,3.16,3,2
192,0.3400000000000001,1,4
193,0.3500000000000001,1,3
194,6.08,4,3
195,4.16,4,0
196,0.3600000000000001,1,4
197,3.17,3,0
198,1.31,3,3
199,3.18,3,0
200,0.3700000000000001,1,0
201,4.17,4,2
202,1.32,2,4
203,1.33,2,4
204,6.09,4,1
205,0.3800000000000001,1,0
206,0.3900000000000002,1,1
207,0.4000000000000002,1,0
208,0.4100000000000002,1,4
209,2.12,3,3
210,2.13,3,4
211,0.4200000000000002,1,4
212,6.1,4,4
213,0.4300000000000002,1,3
214,1.34,2,2
215,5.11,4,0
216,0.4400000000000002,1,0
217,1.35,2,0
218,4.18,3,1
219,0.4500000000000002,1,1
220,3.19,3,3
221,3.2,3,4
222,0.4600000000000002,1,0
223,3.21,3,0
224,0.4700000000000002,1,0
225,0.4800000000000002,1,4
226,0.4900000000000002,1,4
227,0.5000000000000002,1,2
228,0.5100000000000002,1,0
229,0.5200000000000002,1,4
230,0.5300000000000002,1,1
231,0.5400000000000003,1,2
232,0.5500000000000003,1,4
233,6.11,3,2
234,1.36,2,0
235,3.22,3,2
236,0.5600000000000003,1,0
237,0.5700000000000003,1,2
238,0.5800000000000003,1,3
239,0.5900000000000003,1,4
240,5.12,4,0
241,2.14,3,4
242,0.6000000000000003,1,0
243,6.12,4,3
244,3.23,3,0
245,0.6100000000000003,1,2
246,0.6200000000000003,1,3
247,3.24,3,0
248,0.6300000000000003,1,0
249,0.6400000000000003,1,0
250,0.6500000000000004,1,4
251,0.6600000000000004,1,1
252,5.13,4,4
253,0.6700000000000004,1,0
254,0.6800000000000004,1,0
255,1.37,2,1
256,5.14,4,0
257,0.6900000000000004,1,4
258,5.15,4,4
259,0.0,1,1
260,6.13,4,3
261,0.01,1,0
262,0.02,1,4
263,0.03,1,0
264,3.25,3,4
265,0.04,1,4
266,0.05,1,4
267,0.06,1,4
268,6.14,4,2
269,0.07,1,0
270,1.38,2,0
271,4.19,3,1
272,0.08,1,4
273,1.39,2,4
274,2.15,3,1
275,0.09,1,0
276,0.0999999999999999,1,4
277,0.1099999999999999,1,3
278,0.1199999999999999,1,4
279,1.4,2,2
280,3.26,3,0
281,2.16,3,4
282,1.41,2,4
283,0.1299999999999999,1,3
284,0.1399999999999999,1,4
285,2.17,3,0
286,6.15,4,2
287,0.15,1,4
288,1.4200000000000002,2,0
289,2.18,3,4
290,0.16,1,4
291,0.17,1,0
292,3.27,3,4
293,0.18,1,4
294,0.19,1,4
295,1.4300000000000002,2,4
296,0.2,1,4
297,0.21,1,2
298,0.22,1,0
299,0.23,1,4
300,1.4400000000000002,3,2
301,3.28,3,4
302,0.24,1,0
303,0.25,1,0
304,3.29,3,4
305,1.4500000000000002,2,0
306,2.19,3,0
307,0.26,1,3
308,6.16,4,3
309,1.4600000000000002,3,0
310,0.2700000000000001,1,3
311,4.2,3,2
312,0.2800000000000001,1,4
313,5.16,4,4
314,4.21,3,3
315,5.17,4,0
316,0.2900000000000001,1,0
317,0.3000000000000001,1,4
318,0.3100000000000001,1,4
319,2.2,3,4
320,0.3200000000000001,1,4
321,0.3300000000000001,1,0
322,0.3400000000000001,1,4
323,0.3500000000000001,1,4
324,0.3600000000000001,1,4
325,0.3700000000000001,1,0
326,5.18,4,2
327,5.19,4,4
328,4.22,4,4
329,1.4700000000000002,2,3
330,0.3800000000000001,1,0
331,2.21,3,4
332,0.3900000000000002,1,1
333,5.2,4,0
334,0.4000000000000002,1,0
335,0.4100000000000002,1,1
336,0.4200000000000002,1,4
337,0.4300000000000002,1,0
338,3.3000000000000003,3,3
339,0.4400000000000002,1,4
340,5.21,4,0
341,4.23,4,3
342,0.4500000000000002,1,4
343,0.4600000000000002,1,4
344,3.31,3,2
345,2.22,4,0
346,0.4700000000000002,1,4
347,6.17,5,3
348,0.4800000000000002,1,4
349,0.4900000000000002,1,4
350,1.4800000000000002,2,4
351,0.5000000000000002,1,2
352,0.5100000000000002,1,4
353,0.5200000000000002,1,2
354,0.5300000000000002,1,0
355,0.5400000000000003,1,0
356,1.4900000000000002,2,0
357,1.5000000000000002,2,1
358,0.5500000000000003,1,4
359,6.18,4,2
360,0.5600000000000003,1,0
361,6.19,4,2
362,0.5700000000000003,1,4
363,0.5800000000000003,1,0
364,6.2,4,4
365,4.24,4,2
366,0.5900000000000003,1,1
367,0.6000000000000003,1,4
368,3.3200000000000003,3,4
369,0.6100000000000003,1,3
370,0.6200000000000003,1,4
371,1.5100000000000002,2,4
372,0.6300000000000003,1,1
373,0.6400000000000003,1,3
374,0.6500000000000004,2,3
375,0.6600000000000004,1,4
376,0.6700000000000004,1,4
377,0.6800000000000004,1,0
378,0.6900000000000004,1,2
379,2.23,3,0
380,0.0,1,0
381,0.01,1,4
382,0.02,1,0
383,0.03,1,0
